                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.55695,                0.61045,                  1.099,                0.63075,                0.80583,                 1.1346,                0.90546,                0.95644,                0.97608,                0.85895,                0.44593,                0.53595,                 1.0805,                 0.5393,                0.89398,                 1.1711,              0.0013039,              0.0013039,              0.0013039
                     25,                0.60194,                0.59295,                  1.137,                0.67108,                0.76438,                 1.1687,                0.97328,                0.91601,                0.98747,                0.88921,                0.50531,                0.47484,                 1.1432,                0.49771,                0.67744,                 1.1095,              0.0012874,              0.0012874,              0.0012874
                     26,                  0.562,                 0.5916,                 1.0969,                 0.6404,                0.75775,                 1.1308,                0.89796,                0.98275,                0.98119,                0.87975,                0.48705,                0.45795,                 1.1088,                0.52416,                0.69599,                 1.1301,              0.0012709,              0.0012709,              0.0012709
                     27,                0.53303,                0.53303,                  1.081,                0.59769,                0.65348,                 1.1094,                0.88301,                0.83004,                0.89953,                0.81363,                0.46939,                0.52823,                 1.1035,                0.49141,                0.87132,                 1.0786,              0.0012544,              0.0012544,              0.0012544
                     28,                0.55314,                0.56395,                 1.0717,                 0.6241,                0.71002,                  1.101,                0.99163,                0.95652,                0.98897,                0.88232,                0.46795,                0.41821,                 1.0667,                0.48821,                0.58507,                 1.0921,              0.0012379,              0.0012379,              0.0012379
                     29,                0.58932,                0.54507,                 1.1087,                0.65879,                0.64439,                  1.135,                0.92261,                0.87228,                0.96463,                0.84934,                0.51782,                0.47456,                 1.1008,                0.55163,                0.74293,                 1.1541,              0.0012214,              0.0012214,              0.0012214
                     30,                0.56451,                0.54056,                 1.0877,                0.64476,                0.62496,                  1.119,                0.89635,                0.87892,                 0.9579,                0.85039,                0.49341,                0.41757,                  1.081,                0.54521,                0.80853,                  1.141,              0.0012049,              0.0012049,              0.0012049
                     31,                0.54445,                0.52578,                 1.0927,                0.61485,                0.61992,                 1.1264,                0.88007,                0.96875,                0.96888,                0.89368,                0.43211,                0.37459,                 1.0401,                0.42852,                0.56925,                 1.0588,              0.0011884,              0.0011884,              0.0011884
                     32,                0.55192,                0.53571,                 1.0816,                0.61858,                0.64129,                 1.1049,                0.84447,                0.98635,                0.97901,                0.89987,                0.48092,                0.39602,                 1.1083,                0.50343,                0.61206,                 1.1743,              0.0011719,              0.0011719,              0.0011719
                     33,                0.56271,                0.54399,                 1.0792,                0.63807,                0.65028,                  1.109,                0.90893,                0.94517,                0.97465,                0.88707,                0.43594,                0.38082,                 1.0601,                 0.4867,                0.50523,                 1.1147,              0.0011554,              0.0011554,              0.0011554
                     34,                0.51024,                0.52123,                 1.0614,                0.56802,                0.62396,                 1.0861,                0.94704,                0.96875,                 0.9889,                0.91881,                0.43043,                0.36576,                 1.0345,                0.45816,                 0.5183,                 1.1056,              0.0011389,              0.0011389,              0.0011389
