                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.64563,                 0.8438,                 1.1506,                 0.7307,                 1.7564,                 1.1896,                 0.6072,                0.92329,                0.87653,                0.73987,                0.58366,                0.88656,                 1.1803,                0.56018,                 2.9908,                  1.191,              0.0013699,              0.0013699,              0.0013699
                     12,                0.64231,                0.83298,                 1.1511,                0.73289,                 1.6038,                 1.1783,                0.86229,                0.67847,                0.84906,                 0.7359,                0.58714,                 1.0309,                 1.2259,                0.62388,                 2.6651,                 1.3214,              0.0013369,              0.0013369,              0.0013369
                     13,                0.63636,                0.83688,                 1.1768,                0.75391,                 1.5015,                 1.2222,                0.91706,                0.75408,                0.90209,                0.78398,                0.61688,                0.81653,                 1.2613,                0.62562,                 2.1859,                 1.2909,              0.0013039,              0.0013039,              0.0013039
                     14,                0.61057,                0.74822,                 1.1249,                0.70557,                 1.3221,                 1.1623,                 0.8906,                0.93245,                0.95764,                0.81226,                0.64979,                0.75798,                 1.3207,                0.70115,                 1.9415,                 1.4077,              0.0012709,              0.0012709,              0.0012709
                     15,                0.57908,                0.71985,                 1.1171,                0.66151,                 1.2092,                 1.1391,                0.80484,                0.81592,                0.91239,                0.80875,                0.58166,                0.71072,                 1.2499,                0.60665,                 1.8413,                 1.2967,              0.0012379,              0.0012379,              0.0012379
                     16,                0.63832,                0.72668,                 1.1442,                0.71072,                 1.1765,                 1.1695,                0.91663,                0.96875,                0.98729,                0.85845,                0.54183,                0.61437,                 1.1997,                0.63586,                 1.4731,                 1.3114,              0.0012049,              0.0012049,              0.0012049
                     17,                0.58682,                0.67368,                 1.1239,                0.66734,                 1.1069,                 1.1637,                0.82299,                0.89402,                0.94883,                0.86179,                0.48094,                0.63206,                  1.124,                 0.4881,                  1.482,                 1.1466,              0.0011719,              0.0011719,              0.0011719
                     18,                0.58269,                0.66356,                 1.1262,                0.65064,                  1.072,                  1.148,                0.92469,                0.79778,                0.93291,                0.81049,                0.50763,                 0.5818,                  1.148,                0.64436,                 1.4686,                  1.499,              0.0011389,              0.0011389,              0.0011389
                     19,                0.56195,                0.59491,                  1.101,                0.63037,                 0.9518,                 1.1294,                0.88433,                0.90625,                0.96501,                0.85328,                0.53438,                0.56693,                 1.1562,                0.59931,                 1.2375,                 1.2557,              0.0011059,              0.0011059,              0.0011059
                     20,                0.56616,                0.61538,                  1.096,                0.63598,                0.91337,                 1.1202,                0.91267,                0.90763,                0.96979,                 0.8618,                 0.5449,                 0.6144,                 1.1258,                0.53742,                 1.1527,                 1.1522,              0.0010729,              0.0010729,              0.0010729
                     21,                0.59318,                0.62594,                 1.1321,                0.66709,                0.92581,                 1.1567,                0.91107,                0.92893,                0.96933,                0.86902,                0.45776,                0.52155,                 1.1085,                0.51161,                 1.0049,                 1.1537,              0.0010399,              0.0010399,              0.0010399
                     22,                0.55295,                 0.5999,                 1.0946,                0.60908,                0.82837,                 1.1115,                0.85681,                0.96622,                0.96051,                0.88498,                0.44555,                0.51381,                 1.0643,                0.45427,                 1.0091,                 1.0891,              0.0010069,              0.0010069,              0.0010069
                     23,                0.55669,                0.58576,                 1.0943,                0.63354,                0.85207,                 1.1208,                 0.9868,                0.88818,                0.97884,                0.88463,                0.47556,                0.47786,                  1.103,                0.50899,                0.92901,                 1.1463,             0.00097386,             0.00097386,             0.00097386
                     24,                0.51896,                0.53919,                 1.0795,                 0.5708,                0.76605,                 1.1018,                 0.9114,                0.98234,                0.98876,                0.90156,                0.43243,                0.47413,                 1.0628,                0.48953,                0.86819,                 1.1147,             0.00094085,             0.00094085,             0.00094085
                     25,                0.56695,                0.55971,                 1.1128,                0.63295,                0.78283,                 1.1339,                0.92636,                0.93803,                0.97434,                0.88418,                0.49016,                0.44402,                 1.1126,                0.49632,                0.84557,                 1.1407,             0.00090785,             0.00090785,             0.00090785
                     26,                0.51607,                0.51988,                  1.073,                0.57685,                 0.7003,                 1.0892,                0.96531,                0.84947,                0.95857,                0.86105,                0.46533,                0.46399,                 1.0944,                 0.4675,                0.84949,                 1.1294,             0.00087484,             0.00087484,             0.00087484
                     27,                0.50559,                0.49351,                 1.0647,                0.57046,                 0.6637,                 1.0841,                0.94659,                0.86857,                0.97691,                0.89027,                0.42426,                0.45616,                 1.0328,                0.48123,                0.82339,                  1.097,             0.00084184,             0.00084184,             0.00084184
                     28,                0.51155,                 0.5133,                 1.0507,                0.57492,                0.65244,                 1.0714,                0.83941,                0.99365,                0.97142,                0.88813,                0.40768,                0.41792,                0.99505,                0.44341,                0.75664,                 1.0365,             0.00080883,             0.00080883,             0.00080883
                     29,                 0.5537,                0.50601,                 1.1024,                0.61596,                  0.683,                 1.1334,                0.98747,                0.96311,                0.99167,                0.90799,                0.40228,                0.39604,                0.99119,                0.42517,                0.62051,                 1.0128,             0.00077582,             0.00077582,             0.00077582
                     30,                0.52978,                0.52714,                  1.077,                0.57976,                 0.6553,                 1.0949,                0.95416,                 0.8829,                0.97461,                0.89134,                0.47961,                 0.4313,                  1.066,                0.49196,                 0.7342,                 1.0753,             0.00074282,             0.00074282,             0.00074282
                     31,                0.50336,                0.52194,                 1.0757,                0.55073,                0.67746,                 1.0881,                0.88119,                0.96875,                0.98327,                0.89453,                  0.495,                 0.4322,                 1.0816,                0.48636,                0.69795,                 1.0653,             0.00070981,             0.00070981,             0.00070981
                     32,                0.50473,                0.48285,                 1.0554,                0.54626,                 0.6241,                 1.0704,                0.97873,                0.98931,                0.99333,                0.91027,                0.45656,                0.37791,                 1.0662,                0.46222,                0.57469,                 1.0456,              0.0006768,              0.0006768,              0.0006768
                     33,                0.51218,                0.50391,                 1.0542,                0.56225,                 0.6483,                 1.0716,                0.96071,                0.96219,                0.98307,                0.92286,                0.38882,                0.38349,                0.99956,                0.39499,                0.57275,                 1.0098,              0.0006438,              0.0006438,              0.0006438
                     34,                0.46985,                0.48911,                 1.0455,                0.51839,                0.63261,                 1.0626,                0.97786,                0.93802,                0.98999,                0.90623,                0.40194,                0.38776,                 1.0269,                0.43508,                 0.5672,                 1.0474,             0.00061079,             0.00061079,             0.00061079
                     35,                0.48854,                0.47795,                 1.0526,                0.54944,                0.60587,                 1.0731,                  0.979,                0.97351,                0.99417,                0.91141,                0.42984,                0.38098,                 1.0165,                0.44942,                0.50517,                 1.0374,             0.00057778,             0.00057778,             0.00057778
                     36,                0.46733,                0.46062,                 1.0449,                0.51342,                0.57588,                 1.0625,                0.99152,                0.90115,                0.98061,                0.90203,                0.39754,                0.37251,                 1.0095,                0.42997,                0.57912,                 1.0329,             0.00054478,             0.00054478,             0.00054478
                     37,                0.44385,                0.45066,                 1.0255,                0.49189,                0.54344,                 1.0398,                0.99717,                0.99314,                  0.995,                0.93284,                0.35861,                 0.3288,                0.94477,                0.35091,                0.47921,                0.96069,             0.00051177,             0.00051177,             0.00051177
                     38,                0.45671,                0.42831,                 1.0237,                0.49536,                0.53599,                 1.0386,                0.99347,                      1,                  0.995,                0.93813,                0.35971,                0.33861,                0.94931,                0.38188,                  0.449,                0.98126,             0.00047876,             0.00047876,             0.00047876
                     39,                0.44312,                0.42692,                 1.0363,                0.48864,                0.52926,                 1.0505,                0.96714,                0.94269,                0.98968,                 0.9166,                0.38139,                0.33846,                0.95565,                0.40236,                0.50889,                0.97408,             0.00044576,             0.00044576,             0.00044576
                     40,                0.43938,                0.42648,                 1.0342,                 0.4817,                0.51711,                 1.0494,                0.96813,                0.99978,                0.98971,                0.92431,                0.35838,                0.31421,                0.94962,                0.36578,                0.46537,                0.95188,             0.00041275,             0.00041275,             0.00041275
                     41,                0.31626,                0.49212,                0.99722,                0.33527,                0.66395,                 1.0226,                0.95954,                0.97786,                0.99417,                0.93551,                0.36999,                0.39857,                0.98275,                0.37414,                0.53686,                 0.9922,             0.00037974,             0.00037974,             0.00037974
                     42,                0.31275,                0.38667,                0.99248,                0.31928,                 0.5342,                 1.0041,                0.95941,                0.99816,                0.99417,                0.94035,                0.34334,                0.37766,                0.93732,                0.35357,                0.47452,                0.96722,             0.00034674,             0.00034674,             0.00034674
                     43,                0.30226,                0.35778,                0.98165,                0.31104,                0.49271,                0.99497,                0.88385,                0.99241,                0.98686,                0.92869,                0.36588,                0.35166,                0.94912,                0.36548,                0.51467,                0.95355,             0.00031373,             0.00031373,             0.00031373
                     44,                 0.2875,                0.32787,                0.97367,                0.30597,                 0.4394,                0.98703,                0.95359,                0.89338,                0.98208,                0.92858,                0.34119,                0.33863,                0.92762,                0.35227,                0.51705,                0.93553,             0.00028072,             0.00028072,             0.00028072
                     45,                0.27849,                0.34069,                0.95155,                0.28674,                0.46835,                0.96162,                0.95396,                0.96023,                0.99004,                0.93057,                0.34909,                0.31856,                 0.9323,                 0.3667,                0.49753,                0.95757,             0.00024772,             0.00024772,             0.00024772
                     46,                0.27709,                0.31098,                0.96314,                0.28977,                0.44211,                 0.9751,                0.90173,                0.94701,                0.97628,                0.91479,                0.35012,                0.33684,                0.94673,                0.37092,                0.55793,                0.97139,             0.00021471,             0.00021471,             0.00021471
                     47,                0.26237,                0.31046,                0.95616,                0.27578,                0.46423,                0.96828,                0.93923,                0.90287,                0.97815,                0.93235,                0.31782,                0.29238,                0.90943,                0.31294,                0.49526,                0.92049,              0.0001817,              0.0001817,              0.0001817
                     48,                0.26327,                 0.3058,                 0.9527,                0.27109,                0.44586,                0.96153,                0.92182,                0.94327,                0.98276,                0.92516,                0.32724,                0.30324,                0.91985,                0.33564,                0.52136,                0.93752,              0.0001487,              0.0001487,              0.0001487
                     49,                0.26318,                0.29212,                0.94022,                0.27652,                0.45464,                0.94791,                0.93108,                0.96364,                0.98745,                0.93237,                0.33036,                0.29914,                0.91973,                0.34115,                0.46042,                0.93726,             0.00011569,             0.00011569,             0.00011569
                     50,                0.25556,                0.28481,                0.94266,                0.26335,                0.43107,                0.95299,                0.98187,                0.96875,                0.99324,                0.94308,                0.32281,                0.29033,                0.91389,                0.32591,                0.37993,                0.92114,             8.2683e-05,             8.2683e-05,             8.2683e-05
