                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66888,                 2.4573,                   1.23,                0.58876,                 5.5474,                 1.2068,                0.00358,                      1,                  0.238,                0.20136,                0.85325,                 3.5644,                 1.6677,                0.53529,                 11.114,                 1.2975,             0.00054244,             0.00054244,             0.00054244
                      2,                0.75908,                 1.5573,                 1.2427,                 0.6979,                 4.4432,                 1.2198,                0.11541,                   0.75,                0.38107,                 0.3048,                0.67598,                 2.3872,                 1.5015,                0.55141,                 10.411,                 1.3748,              0.0010764,              0.0010764,              0.0010764
                      3,                0.76963,                 1.3475,                 1.2704,                0.81598,                 4.1082,                 1.2973,                0.15835,                0.20029,                  0.279,                0.19248,                0.88745,                 2.9853,                 1.7556,                0.81566,                 9.6316,                 1.6943,              0.0015883,              0.0015883,              0.0015883
                      4,                0.75572,                 1.2538,                 1.2207,                0.79291,                 3.5726,                 1.2349,                0.48735,                0.29891,                0.46474,                0.37264,                0.73183,                 2.3645,                 1.6013,                0.65474,                 8.1409,                 1.4747,               0.001568,               0.001568,               0.001568
                      5,                0.73146,                 1.1695,                 1.2283,                0.80645,                 3.3127,                 1.2494,                0.78544,                0.28125,                0.43986,                0.30267,                0.94589,                 3.5407,                  1.792,                 1.0067,                 7.7992,                 1.8219,               0.001568,               0.001568,               0.001568
                      6,                0.72926,                 1.0689,                  1.214,                0.81975,                  2.915,                 1.2439,                0.60564,                0.77999,                0.77963,                0.59782,                 0.7454,                 1.4985,                 1.4698,                0.90071,                  5.483,                 1.6161,               0.001535,               0.001535,               0.001535
                      7,                0.75009,                 1.0956,                 1.2289,                0.81297,                  2.617,                 1.2402,                0.79508,                0.69433,                0.85551,                0.66972,                0.71652,                 1.2424,                 1.4951,                 0.8467,                 4.4717,                 1.6177,               0.001502,               0.001502,               0.001502
                      8,                0.69267,                0.95303,                 1.1874,                0.77906,                 2.2548,                 1.2143,                0.78679,                0.80978,                0.88835,                0.75298,                 0.6311,                 1.0577,                 1.3709,                0.65633,                 3.9156,                 1.4138,               0.001469,               0.001469,               0.001469
                      9,                0.71166,                0.97341,                 1.2079,                0.78847,                 2.1887,                  1.228,                0.76017,                0.73868,                0.87015,                0.72187,                0.61913,                 1.0029,                  1.303,                0.74066,                 3.4354,                 1.4146,               0.001436,               0.001436,               0.001436
                     10,                0.66152,                0.94597,                 1.1827,                0.74707,                 1.9736,                 1.2207,                0.76424,                 0.8288,                0.90802,                0.80991,                 0.5515,                0.87605,                  1.198,                0.54784,                 2.9402,                 1.2146,              0.0014029,              0.0014029,              0.0014029
