                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66888,                 2.4573,                   1.23,                0.58876,                 5.5474,                 1.2068,                0.00358,                      1,                  0.238,                0.20136,                0.85325,                 3.5644,                 1.6677,                0.53529,                 11.114,                 1.2975,             0.00054244,             0.00054244,             0.00054244
                      2,                0.76587,                 1.5609,                 1.2467,                0.70489,                 4.4453,                 1.2214,                 0.1618,                0.71875,                0.31813,                0.25851,                0.66807,                 2.4886,                 1.5275,                0.57034,                 10.486,                 1.3117,              0.0010826,              0.0010826,              0.0010826
                      3,                 0.7672,                  1.349,                 1.2708,                 0.8188,                 4.1295,                 1.2872,                0.09918,                0.28305,                 0.1066,                0.07884,                0.74812,                 2.9954,                 1.5783,                0.63621,                 9.7099,                 1.4849,               0.001607,               0.001607,               0.001607
                      4,                0.75868,                 1.2533,                 1.2221,                0.81043,                 3.5902,                 1.2414,                0.41532,                0.44003,                0.47945,                0.37338,                0.83501,                 2.1085,                 1.6981,                0.86025,                  7.841,                  1.726,              0.0015963,              0.0015963,              0.0015963
                      5,                0.77107,                 1.2292,                 1.2568,                0.82467,                  3.346,                 1.2756,                0.39802,                0.50408,                0.40426,                0.27125,                0.83359,                  2.057,                 1.7023,                0.99703,                 6.9787,                 1.8408,              0.0015963,              0.0015963,              0.0015963
                      6,                0.74218,                 1.1219,                 1.2339,                0.83413,                 2.9476,                 1.2828,                0.48638,                0.55978,                0.54008,                0.37419,                0.78743,                 1.6957,                 1.5687,                0.76814,                 5.7605,                 1.6603,              0.0015727,              0.0015727,              0.0015727
                      7,                0.71398,                 1.0315,                  1.211,                0.80492,                 2.5379,                 1.2555,                0.74036,                0.66712,                0.75484,                0.60944,                0.67644,                  1.348,                 1.4511,                0.80644,                  4.327,                  1.622,              0.0015491,              0.0015491,              0.0015491
                      8,                0.72915,                0.98979,                 1.2051,                0.82452,                 2.2519,                 1.2375,                0.84546,                 0.7209,                0.84825,                 0.7217,                0.63238,                 1.3804,                 1.3664,                0.67639,                 3.9139,                 1.5184,              0.0015255,              0.0015255,              0.0015255
                      9,                0.78409,                 1.1395,                 1.2542,                0.85991,                  2.294,                 1.2779,                0.89772,                0.57906,                0.73989,                0.61322,                0.74789,                 1.2706,                 1.3245,                0.75369,                 3.7211,                  1.373,               0.001502,               0.001502,               0.001502
                     10,                0.69166,                0.93488,                 1.1983,                 0.7562,                 1.8638,                 1.2234,                0.82612,                0.65082,                0.83513,                0.71757,                0.63566,                 1.0647,                   1.35,                0.65923,                 3.0497,                 1.3816,              0.0014784,              0.0014784,              0.0014784
                     11,                0.67621,                0.86563,                 1.1769,                0.75364,                  1.747,                  1.209,                0.74574,                  0.705,                0.85204,                0.74565,                0.64752,                0.98122,                 1.4647,                0.65297,                 3.0424,                 1.4602,              0.0014548,              0.0014548,              0.0014548
                     12,                0.65585,                0.83922,                 1.1678,                0.74498,                 1.5813,                 1.2088,                0.70668,                0.85779,                0.84135,                0.68724,                0.61843,                0.98781,                 1.3465,                0.71361,                 2.7153,                 1.4212,              0.0014312,              0.0014312,              0.0014312
                     13,                0.67204,                0.86611,                 1.1846,                0.76117,                 1.5317,                 1.2274,                0.74801,                0.85694,                0.83072,                 0.7181,                0.56137,                0.92479,                 1.3025,                0.61286,                 2.2649,                  1.409,              0.0014077,              0.0014077,              0.0014077
                     14,                0.63573,                0.79241,                 1.1403,                0.70911,                 1.3753,                 1.1715,                0.78751,                0.96064,                 0.9295,                0.78417,                0.62819,                0.76792,                  1.358,                0.69734,                 1.8863,                 1.5118,              0.0013841,              0.0013841,              0.0013841
                     15,                0.59342,                0.74034,                 1.1277,                0.67879,                 1.1873,                 1.1544,                0.71018,                0.86005,                0.83038,                0.71855,                0.49015,                0.80835,                 1.1455,                0.58051,                 1.8789,                  1.225,              0.0013605,              0.0013605,              0.0013605
                     16,                0.65819,                 0.7568,                 1.1604,                0.74385,                 1.1783,                 1.1959,                0.73527,                0.96875,                0.89116,                0.75189,                0.55846,                0.71847,                 1.2162,                0.69985,                 1.6423,                 1.3476,              0.0013369,              0.0013369,              0.0013369
                     17,                0.62847,                0.69924,                 1.1467,                0.71594,                 1.1333,                 1.1816,                0.94682,                0.97717,                0.97323,                0.87321,                0.56382,                0.64686,                 1.2147,                 0.5684,                 1.3095,                 1.2011,              0.0013134,              0.0013134,              0.0013134
                     18,                0.60738,                  0.669,                 1.1404,                0.68728,                 1.0274,                 1.1691,                0.81161,                0.85583,                0.93919,                0.83481,                0.51418,                0.72812,                 1.1542,                0.58781,                 1.4726,                 1.2669,              0.0012898,              0.0012898,              0.0012898
                     19,                0.57135,                0.61722,                 1.1082,                0.65416,                0.95752,                 1.1392,                0.92634,                0.93105,                0.98435,                0.84885,                0.51723,                0.57652,                 1.1492,                0.66236,                 1.1689,                 1.2824,              0.0012662,              0.0012662,              0.0012662
                     20,                0.56441,                0.61892,                 1.0969,                0.63357,                0.92519,                 1.1228,                0.94077,                0.85955,                0.97632,                0.87582,                0.48391,                0.52106,                 1.1346,                 0.5221,                 1.0521,                 1.2141,              0.0012426,              0.0012426,              0.0012426
                     21,                0.60984,                0.62044,                 1.1404,                0.69544,                0.89915,                 1.1717,                0.92931,                0.83831,                 0.9429,                0.85275,                0.47351,                0.51613,                 1.1143,                0.52255,                 1.0361,                 1.2041,              0.0012191,              0.0012191,              0.0012191
                     22,                0.56905,                0.64254,                 1.0998,                0.64644,                 0.8799,                 1.1201,                0.82592,                0.82597,                0.94066,                0.81663,                0.55395,                0.54605,                 1.1964,                0.58706,                 1.0653,                 1.2834,              0.0011955,              0.0011955,              0.0011955
                     23,                0.56455,                0.62385,                 1.1019,                0.63872,                0.85972,                 1.1292,                0.95678,                0.87106,                0.97247,                0.86405,                0.49368,                 0.4972,                 1.1169,                0.56531,                0.86103,                 1.2006,              0.0011719,              0.0011719,              0.0011719
                     24,                0.55505,                0.58996,                 1.0972,                0.62411,                0.79014,                  1.118,                0.92494,                0.86544,                0.97098,                0.87311,                0.50373,                0.48331,                  1.145,                0.53935,                0.85584,                 1.1628,              0.0011483,              0.0011483,              0.0011483
                     25,                0.60916,                0.58629,                  1.135,                0.67835,                0.78191,                 1.1629,                0.83284,                0.94701,                0.95976,                0.85918,                0.50592,                0.55402,                  1.171,                0.48231,                0.86613,                 1.1366,              0.0011247,              0.0011247,              0.0011247
                     26,                0.54404,                0.56585,                 1.0935,                0.59736,                0.75864,                 1.1082,                0.92137,                      1,                0.98987,                0.88041,                0.45784,                0.43641,                 1.1186,                0.48382,                 0.7476,                 1.1331,              0.0011012,              0.0011012,              0.0011012
                     27,                0.52428,                 0.5145,                   1.08,                0.59111,                 0.6621,                 1.1014,                0.94534,                0.91949,                0.98535,                0.87416,                0.50075,                0.49676,                 1.1347,                0.55114,                0.70521,                 1.1779,              0.0010776,              0.0010776,              0.0010776
                     28,                0.54426,                0.54047,                 1.0685,                0.60632,                 0.6904,                 1.0987,                0.96519,                 0.9061,                 0.9846,                0.89017,                0.50751,                0.44464,                 1.1482,                0.55028,                0.70793,                 1.2352,               0.001054,               0.001054,               0.001054
                     29,                0.55698,                0.53165,                 1.1005,                0.64433,                0.68387,                 1.1336,                0.89623,                      1,                0.98811,                0.86879,                0.52925,                0.42751,                 1.1568,                0.58075,                0.62765,                 1.2274,              0.0010304,              0.0010304,              0.0010304
                     30,                0.55082,                0.52937,                  1.084,                0.60811,                0.67371,                  1.107,                 0.9835,                0.84375,                0.97461,                0.87437,                 0.5137,                0.42718,                  1.149,                0.51328,                0.63866,                 1.1643,              0.0010069,              0.0010069,              0.0010069
                     31,                0.53268,                0.54078,                  1.095,                0.58607,                0.70025,                  1.118,                0.98526,                0.94274,                0.99083,                 0.8984,                0.47343,                0.43039,                 1.1161,                0.51211,                0.53811,                 1.1885,             0.00098329,             0.00098329,             0.00098329
                     32,                0.55733,                0.53861,                 1.0876,                0.61788,                0.66536,                 1.1099,                0.92035,                0.95793,                0.99006,                0.90809,                0.46579,                0.39278,                 1.0746,                0.48807,                0.54602,                 1.1502,             0.00095972,             0.00095972,             0.00095972
                     33,                0.57137,                 0.5386,                 1.0873,                0.62468,                0.63835,                 1.1109,                0.94345,                0.98047,                0.99229,                0.89834,                0.45782,                0.40755,                 1.1117,                0.48526,                0.54374,                 1.1651,             0.00093614,             0.00093614,             0.00093614
                     34,                0.53583,                0.52189,                 1.0797,                0.59833,                0.65158,                 1.1025,                0.98995,                0.98797,                  0.995,                0.89704,                0.45189,                0.38388,                 1.0843,                0.47846,                0.48258,                 1.1238,             0.00091256,             0.00091256,             0.00091256
                     35,                 0.5368,                0.51751,                 1.0815,                0.59342,                0.61505,                 1.1046,                0.98165,                0.97826,                0.99204,                0.91207,                0.44356,                0.36309,                 1.0574,                0.45207,                0.45092,                 1.0805,             0.00088899,             0.00088899,             0.00088899
                     36,                0.49832,                0.50263,                 1.0597,                0.56168,                0.59892,                 1.0872,                0.97411,                0.97826,                0.99074,                0.87909,                0.50015,                0.38387,                 1.0946,                0.53778,                0.47315,                 1.1266,             0.00086541,             0.00086541,             0.00086541
                     37,                0.49232,                 0.4853,                 1.0507,                0.55553,                0.59288,                  1.072,                0.96559,                      1,                  0.995,                0.89888,                0.47023,                 0.3653,                 1.0597,                0.47317,                0.40833,                 1.0708,             0.00084184,             0.00084184,             0.00084184
                     38,                0.50119,                0.47578,                 1.0516,                0.56046,                0.59759,                 1.0729,                0.97173,                0.96875,                0.99026,                0.90391,                0.41591,                0.33305,                 1.0118,                 0.4519,                0.45075,                 1.0385,             0.00081826,             0.00081826,             0.00081826
                     39,                0.48457,                 0.4598,                 1.0593,                0.55096,                0.56993,                 1.0769,                      1,                0.99112,                  0.995,                0.90802,                0.46518,                0.37016,                 1.0625,                0.44122,                0.41121,                 1.0355,             0.00079468,             0.00079468,             0.00079468
