                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66888,                 2.4573,                   1.23,                0.58876,                 5.5474,                 1.2068,                0.00358,                      1,                  0.238,                0.20136,                0.85325,                 3.5644,                 1.6677,                0.53529,                 11.114,                 1.2975,             0.00054244,             0.00054244,             0.00054244
                      2,                0.76385,                 1.5601,                 1.2455,                0.70342,                 4.4477,                 1.2224,                0.21312,                0.48029,                0.35731,                0.24314,                0.74067,                 2.6026,                 1.5378,                0.65072,                 10.618,                 1.4992,              0.0010709,              0.0010709,              0.0010709
                      3,                 0.7799,                 1.3769,                 1.2722,                0.79364,                 4.1396,                 1.2759,                0.37167,                0.27038,                 0.3014,                0.25334,                0.63797,                 3.7409,                 1.4605,                0.57012,                 9.2031,                 1.4155,              0.0015719,              0.0015719,              0.0015719
                      4,                 0.7556,                 1.2661,                 1.2234,                0.79211,                 3.5846,                  1.237,                0.34502,                0.40985,                0.33488,                0.20956,                 1.0984,                 2.5078,                 1.8629,                 1.1687,                 8.7486,                 1.7015,              0.0015432,              0.0015432,              0.0015432
                      5,                0.72919,                 1.1851,                  1.222,                0.84416,                 3.2948,                 1.2738,                0.62746,                0.52017,                0.64717,                0.49772,                0.84947,                 2.0256,                 1.5497,                0.73352,                 6.7213,                 1.4321,              0.0015432,              0.0015432,              0.0015432
                      6,                0.74114,                 1.1033,                  1.234,                0.79326,                 2.9078,                 1.2527,                0.51667,                 0.6413,                0.62415,                 0.4782,                 0.7208,                 1.5156,                 1.5162,                0.79287,                  5.587,                 1.5567,               0.001502,               0.001502,               0.001502
                      7,                0.72964,                 1.0188,                 1.2072,                 0.8101,                  2.508,                 1.2419,                0.89793,                0.55188,                0.65931,                0.50274,                 0.7501,                 1.6573,                 1.5412,                 0.8135,                 5.1125,                 1.5915,              0.0014607,              0.0014607,              0.0014607
                      8,                0.69391,                0.98939,                 1.1825,                0.77646,                 2.2729,                 1.2091,                0.60317,                0.68478,                0.69187,                0.56663,                0.60925,                 1.3487,                 1.3247,                0.73455,                 4.3768,                  1.407,              0.0014195,              0.0014195,              0.0014195
                      9,                0.68267,                0.99804,                 1.1898,                0.76286,                 2.1828,                  1.211,                0.60984,                0.75679,                 0.7168,                0.59927,                0.77604,                 1.2499,                 1.5708,                0.77926,                  3.858,                 1.6539,              0.0013782,              0.0013782,              0.0013782
                     10,                0.65087,                0.91622,                 1.1841,                0.72743,                 1.9066,                   1.21,                0.90529,                0.90087,                0.97487,                0.78226,                0.70849,                 1.0824,                 1.3615,                0.74192,                  3.289,                 1.3712,              0.0013369,              0.0013369,              0.0013369
                     11,                0.65361,                0.82887,                 1.1638,                0.73112,                 1.7005,                 1.1965,                0.89664,                0.82702,                0.94169,                0.83495,                0.57105,                 0.8126,                 1.2467,                0.59444,                 2.6065,                 1.2976,              0.0012957,              0.0012957,              0.0012957
                     12,                0.63195,                0.84994,                 1.1425,                0.69864,                 1.6186,                 1.1694,                 0.9069,                0.94611,                0.97042,                0.84669,                0.57764,                0.78674,                 1.2963,                0.58509,                 2.3117,                  1.308,              0.0012544,              0.0012544,              0.0012544
                     13,                0.61138,                0.81431,                 1.1409,                0.65748,                  1.493,                 1.1592,                0.84783,                0.74179,                0.85667,                0.74885,                0.59927,                0.96554,                 1.3195,                0.62221,                  2.414,                 1.3988,              0.0012132,              0.0012132,              0.0012132
                     14,                0.60429,                0.74825,                 1.1215,                0.66308,                 1.3955,                 1.1424,                 0.7994,                0.77853,                0.89642,                0.77789,                0.59098,                0.80485,                 1.2721,                0.60312,                 2.2079,                 1.3463,              0.0011719,              0.0011719,              0.0011719
                     15,                0.57547,                0.71374,                 1.1171,                0.64307,                 1.2575,                  1.136,                0.87216,                0.84783,                0.93797,                0.81474,                0.55203,                0.69526,                 1.2061,                0.61111,                 1.9695,                 1.3077,              0.0011306,              0.0011306,              0.0011306
                     16,                0.62903,                0.71997,                  1.145,                0.70745,                 1.2311,                 1.1792,                0.82715,                0.93478,                0.96254,                0.84808,                0.49589,                0.63303,                 1.1627,                0.58517,                 1.6561,                  1.225,              0.0010894,              0.0010894,              0.0010894
                     17,                0.57171,                 0.6516,                 1.1174,                0.67154,                  1.125,                 1.1443,                0.91486,                0.91409,                0.94764,                0.85131,                0.50566,                0.62726,                 1.1364,                0.57517,                 1.5092,                  1.207,              0.0010481,              0.0010481,              0.0010481
                     18,                0.57997,                0.64613,                  1.118,                0.66411,                 1.0918,                 1.1466,                0.96661,                0.94701,                0.98145,                0.89146,                0.46931,                0.55585,                  1.108,                0.48374,                 1.3443,                  1.135,              0.0010069,              0.0010069,              0.0010069
                     19,                0.55201,                0.60762,                 1.0954,                0.62896,                0.99622,                 1.1303,                0.94241,                0.87866,                0.97356,                0.88632,                0.52868,                0.57132,                 1.1975,                0.52537,                 1.3314,                  1.257,             0.00096561,             0.00096561,             0.00096561
                     20,                 0.5509,                0.60283,                 1.0912,                0.61145,                 0.9485,                 1.1131,                0.82435,                0.95178,                0.92625,                0.83837,                0.44883,                0.62698,                 1.0778,                0.47987,                  1.251,                 1.1335,             0.00092435,             0.00092435,             0.00092435
                     21,                0.57754,                0.61026,                 1.1128,                0.63781,                0.94974,                 1.1335,                0.91183,                0.98481,                 0.9874,                0.87502,                0.52132,                0.51869,                 1.1371,                  0.611,                 1.1127,                  1.221,             0.00088309,             0.00088309,             0.00088309
                     22,                0.54437,                0.58809,                 1.0856,                0.59565,                0.86036,                  1.107,                0.82211,                0.93478,                0.94037,                0.83063,                0.53844,                0.63883,                 1.1448,                0.54177,                  1.201,                 1.1607,             0.00084184,             0.00084184,             0.00084184
                     23,                0.52171,                0.60124,                 1.0751,                0.58205,                0.88323,                 1.1018,                0.95065,                0.95447,                0.99083,                0.88429,                0.50951,                0.48202,                 1.1461,                0.55913,                0.96652,                 1.2376,             0.00080058,             0.00080058,             0.00080058
                     24,                0.50095,                0.56683,                 1.0663,                0.55659,                0.82897,                 1.0823,                 0.8755,                0.99543,                0.97929,                0.89788,                0.45793,                0.51142,                 1.1036,                0.51618,                0.94287,                 1.1509,             0.00075932,             0.00075932,             0.00075932
                     25,                0.55125,                0.56502,                 1.1068,                0.60364,                0.82774,                  1.123,                0.86616,                0.96785,                0.98051,                 0.8796,                0.48765,                0.47985,                 1.0949,                0.50114,                 0.9628,                 1.1078,             0.00071806,             0.00071806,             0.00071806
                     26,                0.49658,                0.55169,                 1.0651,                  0.545,                0.78778,                 1.0839,                0.95518,                0.95029,                0.99103,                0.89055,                0.47558,                0.51778,                 1.0911,                0.51571,                0.92076,                 1.1268,              0.0006768,              0.0006768,              0.0006768
                     27,                0.48974,                0.51922,                 1.0559,                0.53846,                0.75372,                 1.0733,                0.89338,                0.96875,                0.97011,                0.89471,                0.39778,                 0.4859,                 1.0051,                0.43234,                0.86856,                 1.0637,             0.00063554,             0.00063554,             0.00063554
                     28,                0.50152,                0.50623,                 1.0424,                0.55703,                0.72649,                 1.0669,                0.87937,                0.99701,                0.97642,                0.88376,                0.40488,                0.42152,                0.99114,                0.44817,                0.88978,                 1.0247,             0.00059429,             0.00059429,             0.00059429
                     29,                0.49597,                0.50197,                 1.0665,                0.54227,                0.71519,                 1.0841,                0.96659,                0.95214,                0.98975,                0.91808,                0.42138,                0.42627,                 1.0271,                0.42444,                0.77731,                 1.0264,             0.00055303,             0.00055303,             0.00055303
                     30,                0.49011,                0.49048,                 1.0533,                 0.5295,                0.66606,                  1.067,                0.91744,                 0.9397,                0.98438,                0.91744,                0.37432,                0.40023,                0.98599,                0.43348,                 0.7746,                  1.021,             0.00051177,             0.00051177,             0.00051177
                     31,                0.35924,                0.56317,                 1.0181,                0.39046,                0.92688,                 1.0534,                      1,                0.96332,                0.99324,                 0.9163,                0.39381,                0.48688,                0.98325,                0.43551,                0.73457,                 1.0206,             0.00047051,             0.00047051,             0.00047051
                     32,                0.32943,                0.45626,                0.97813,                0.35122,                0.75792,                 1.0071,                 0.9757,                      1,                  0.995,                 0.9391,                0.35943,                0.40485,                0.95614,                0.37151,                0.68429,                0.97789,             0.00042925,             0.00042925,             0.00042925
                     33,                0.32688,                0.41811,                0.98684,                0.34216,                0.72086,                 1.0029,                0.95138,                0.96283,                0.99064,                0.92884,                0.36804,                0.37638,                0.96194,                0.38476,                0.65096,                0.98547,             0.00038799,             0.00038799,             0.00038799
                     34,                0.33829,                0.44211,                0.99621,                0.35822,                0.71792,                 1.0114,                0.96652,                0.91576,                0.98683,                0.92151,                0.38422,                0.40551,                0.98235,                0.39243,                0.70009,                0.99429,             0.00034674,             0.00034674,             0.00034674
                     35,                0.30979,                0.41265,                0.98127,                0.34021,                0.66667,                 1.0082,                0.98882,                 0.9375,                0.98833,                0.92863,                0.37976,                 0.3723,                0.98426,                0.38146,                0.63116,                 1.0124,             0.00030548,             0.00030548,             0.00030548
                     36,                0.30546,                0.38221,                 0.9785,                0.33069,                0.63089,                 1.0004,                0.99603,                0.97625,                0.99417,                 0.9274,                 0.3932,                0.35899,                0.99511,                0.40753,                0.60739,                 1.0172,             0.00026422,             0.00026422,             0.00026422
                     37,                0.29729,                0.36549,                0.96307,                0.30727,                0.60053,                0.97271,                0.96441,                0.99572,                0.98588,                0.91245,                 0.3763,                0.35665,                0.96834,                0.38911,                0.58335,                0.99836,             0.00022296,             0.00022296,             0.00022296
                     38,                0.28643,                0.35214,                0.95746,                0.29612,                0.57521,                0.97184,                      1,                0.96247,                  0.995,                 0.9381,                0.37092,                0.35447,                0.95612,                0.37645,                0.58993,                0.96188,              0.0001817,              0.0001817,              0.0001817
                     39,                0.28804,                0.33584,                0.93114,                0.30322,                 0.5522,                0.94878,                0.93707,                0.97826,                0.99144,                0.93604,                0.35322,                0.34161,                0.93406,                0.34659,                0.58391,                0.94245,             0.00014044,             0.00014044,             0.00014044
                     40,                 0.2685,                0.33146,                0.94888,                0.28485,                0.55818,                0.96144,                0.96164,                0.96743,                0.99164,                0.94614,                0.34012,                0.32678,                0.92373,                0.34084,                 0.5736,                0.93752,             9.9187e-05,             9.9187e-05,             9.9187e-05
